PeakID (cmd=annotatePeaks.pl merge_chipseq_chipnexus_q10/merge2chip_q10_given.txt dm3 -go merge_chipseq_chipnexus_q10/GO/merge2chip_q10_given/ -genomeOntology merge_chipseq_chipnexus_q10/GenomeOntology/merge2chip_q10_given/ -annStats merge_chipseq_chipnexus_q10/merge2chip_q10_given_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr3R-6145039-1	chr3R	6144739	6145339	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	exon (NM_141738, exon 21 of 32)	exon (NM_141738, exon 21 of 32)	-7704	NM_141737	41259	Dm.2071	NM_141737		CG6293	Dmel\CG6293	CG6293	protein-coding
Merged-chrX-678585-1	chrX	678437	678733	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_130502)	promoter-TSS (NM_130502)	-194	NM_130502	31024	Dm.12266	NM_130502		tw	CG12311|DPOMT2|DmPOMT2|Dmel\CG12311|EG:34F3.7|POMT2|Pomt2|Tw|dPOMT2|dPomt2	twisted	protein-coding
Merged-chr3R-12741555-1	chr3R	12741274	12741836	+	0.000000	wtInsv__insvInsv	intron (NR_048412, intron 1 of 6)	intron (NR_048412, intron 1 of 6)	7294	NR_048412	12798430		NR_048412		iab-8	CG31270|CR43261|Dmel\CR43261|Dmel_CG31270|iab|iab-8 ncRNA|iab-8ncRNA|miR-iab-8|mpa|msa	iab-8 non-coding RNA	ncRNA
Merged-chr3R-2826789-9	chr3R	2826233	2827535	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed	non-coding (NR_133346, exon 1 of 1)	non-coding (NR_133346, exon 1 of 1)	670	NR_133346	26067227		NR_133346		CR45899	Dmel\CR45899|lincRNA.701	ncRNA	ncRNA
Merged-chr4-871092-5	chr4	870909	871224	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NR_123749)	promoter-TSS (NR_123749)	-734	NR_123749	19835331		NR_123749		CR45123	Dmel\CR45123	ncRNA	ncRNA
Merged-chr2R-6988253-1	chr2R	6988145	6988361	+	0.000000	wtElba3__elba3Elba3	intron (NM_001299374, intron 1 of 4)	intron (NM_001299374, intron 1 of 4)	6068	NM_206089	2768719	Dm.22012	NM_206089		luna	CG17326|CG33473|CG9087|DKLF|Dmel\CG33473|KLF|Klf|LUNA|lincRNA.284	luna	protein-coding
Merged-chr3L-22933522-3	chr3L	22933415	22933672	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-4673	NR_144679	30522428		NR_144679		mir-9388	CR46297|Dmel\CR46297	mir-9388 stem loop	ncRNA
Merged-chr3L-3070523-6	chr3L	3069808	3071114	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104017)	promoter-TSS (NM_001104017)	378	NM_139508	38367	Dm.830	NM_139508		CG32486	CG14954|CG16745|Dmel\CG32486|anon-WO0118547.267|l(2)SH3 095|l(3)SH095	uncharacterized protein	protein-coding
Merged-chrX-549138-3	chrX	548713	549572	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_001258524)	promoter-TSS (NM_001258524)	-171	NM_001258524	31015	Dm.4968	NM_130497		Hmt4-20	BcDNA:LD36415|CG13363|Dmel\CG13363|EG:115C2.10|SUV4-20|Su(var)4-20|Suv4-20|Suv4.20|dSuv4-20|hmt4-20	Histone methyltransferase 4-20	protein-coding
Merged-chr2L-7138661-2	chr2L	7138451	7138914	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_001103637, intron 1 of 5)	intron (NM_001103637, intron 1 of 5)	-3622	NR_124128	19836012		NR_124128		CR44612	Dmel\CR44612	ncRNA	ncRNA
Merged-chr3R-2770771-4	chr3R	2770598	2770975	+	0.000000	wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_206446, intron 2 of 6)	intron (NM_206446, intron 2 of 6)	-12224	NM_206454	40835	Dm.3803	NM_206444		Antp	3.4|ANT-C|ANT-P|ANTC|ANTP|Ant|AntP|AntP1|Antp P1|Antp P2|Antp1|Aus|BG:DS07700.1|CG1028|DMANTPE1|DRO15DC96Z|DmAntp|Dmel\CG1028|Hu|Ns|Scx|antp|l(3)84Ba	Antennapedia	protein-coding
Merged-chr3L-10512168-5	chr3L	10511964	10512374	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_001274751, intron 2 of 13)	intron (NM_001274751, intron 2 of 13)	3066	NM_001104104	39198	Dm.5024	NM_168412		Rbfox1	A2BP1|A2bp1|BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|cg18441|dA2BP1	RNA-binding Fox protein 1	protein-coding
Merged-chrX-4011745-4	chrX	4011352	4012179	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_131923)	promoter-TSS (NM_131923)	182	NM_001258590	31363	Dm.3621	NM_131924		tyf	CG485|CG4857|Dmel\CG4857|EG:EG0007.12|EG:EG0007.4|TYF	twenty-four	protein-coding
Merged-chr3R-17006562-3	chr3R	17006411	17006697	+	0.000000	wtInsv__insvInsv|Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104385)	promoter-TSS (NM_001104385)	-9	NM_001043271	42515	Dm.16656	NM_080509		SNF4Agamma	0050/42|0127/19|AMPK&ggr|AMPK-&ggr|AMPKgamma|AMPgamma|CG17299|CG5806|Dmel\CG17299|EP3015b|FBgn0025803|SNF4|SNF4A|SNF4A-gamma|SNF4Ag|SNF4a|SNF4gamma|Snfg|Snfgamma|anon-WO0118547.338|anon-WO0118547.575|anon-WO0257455.21|l(3)S005042|l(3)S012719|loe|loeI|snf4	SNF4/AMP-activated protein kinase gamma subunit	protein-coding
Merged-chr2R-9080491-1	chr2R	9080175	9080808	+	0.000000	wtElba3__elba3Elba3	intron (NM_176164, intron 1 of 5)	intron (NM_176164, intron 1 of 5)	-2900	NM_001274016	246682	Dm.6975	NM_137000		CG17724	CG17724a|CG4037|Dmel\CG17724	uncharacterized protein	protein-coding
Merged-chr3L-9498368-2	chr3L	9498237	9498452	+	0.000000	wtElba3__elba3Elba3|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_140070)	promoter-TSS (NM_140070)	84	NM_001274705	39106	Dm.6315	NM_140070		path	CG3424|Dmel\CG3424|Path|anon-WO0118547.271|anon-WO0118547.370|pth	pathetic	protein-coding
Merged-chr2L-1732429-1	chr2L	1732318	1732541	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_134773)	promoter-TSS (NM_134773)	-73	NM_001272952	33353	Dm.18434	NM_134773		CG17652	Dmel\CG17652	uncharacterized protein	protein-coding
Merged-chrX-11749043-2	chrX	11748789	11749326	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	promoter-TSS (NM_132528)	promoter-TSS (NM_132528)	2	NM_001272537	32142	Dm.18759	NM_132528		ATP7	CG1886|DmATP7|Dmel\CG1886|dmATP7|lincRNA.S9122	ATP7	protein-coding
Merged-chr3R-11075911-1	chr3R	11075519	11076304	+	0.000000	wtInsv__insvInsv	promoter-TSS (NM_142180)	promoter-TSS (NM_142180)	95	NM_001260189	41842	Dm.13841	NM_142180		CG42404	BcDNA:SD12744|CG31154|CG34128|CG4285|Dmel\CG42404|Dmel_CG34128|Dmel_CG4285|lincRNA.S6902	uncharacterized protein	protein-coding
Merged-chrX-17143589-1	chrX	17143527	17143651	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_132981)	promoter-TSS (NM_132981)	-54	NM_132981	32716	Dm.8347	NM_132981		CG8675	Dmel\CG8675	CG8675	protein-coding
Merged-chr2R-12025022-1	chr2R	12024893	12025152	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_166148)	promoter-TSS (NM_166148)	-835	NM_166148	36782	Dm.3647	NM_137242		Got1	BEST:GH07823|CG8430|Dmel\CG8430|FBgn 1124|GOT-1|Got-1|Got2|got1	Glutamate oxaloacetate transaminase 1	protein-coding
Merged-chr3R-26200388-1	chr3R	26200263	26200513	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	12934	NM_001260437	46415	Dm.1630	NM_080134		Fer1HCH	1HCH|BEST:LD36673|CG2216|Dmel\CG2216|FER1|FER1HCH|Fe1HCH|Fer-L|Fer1|Fer1HC|FerHCH|HCH|T21|T9|fer1|fer1hch|l(3)00451|l(3)j10B4	Ferritin 1 heavy chain homologue	protein-coding
Merged-chr2L-5754714-1	chr2L	5754683	5754746	+	0.000000	Elba2_ChIPnexus_narrowPeak_q5.bed	intron (NM_001273174, intron 1 of 3)	intron (NM_001273174, intron 1 of 3)	8557	NM_135111	33804	Dm.34157	NM_135111		CG11029	Dmel\CG11029	uncharacterized protein	protein-coding
Merged-chrX-20954478-1	chrX	20954430	20954526	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-10393	NM_001031911	318064	Dm.31022	NM_001031911		stg1	CG10985|CG11568|CG11569|CG32514|CG32514-ORFA|CG33670|Dmel\CG33670|Dro STG1|STG1|Stg1	stargazin-like protein	protein-coding
Merged-chr2R-8606242-1	chr2R	8606165	8606320	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	intron (NM_001273996, intron 1 of 8)	intron (NM_001273996, intron 1 of 8)	13565	NM_136972	36403	Dm.18826	NM_136972		CG42663	BcDNA:SD15892|CG12488|CG13486|CG18356|Dmel\CG42663|Dmel_CG12488|Dmel_CG18356	uncharacterized protein	protein-coding
Merged-chr3L-16204308-1	chr3L	16204247	16204369	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-2720	NR_124957	14462873		NR_124957		CR43891	Dmel\CR43891	ncRNA	ncRNA
Merged-chr3R-1020946-1	chr3R	1020756	1021136	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NR_048324)	promoter-TSS (NR_048324)	-61	NR_048324	12798231		NR_048324		snRNA:U4atac:82E	CR32860|CR43269|Dmel\CR43269|Dmel_CR32860|U4atac|U4atac-82E|U4atac:cno-a|chr3R:1020715..1020926|snRNA_01	small nuclear RNA U4atac at 82E	ncRNA
Merged-chr3R-23114290-1	chr3R	23113834	23114747	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_057811)	promoter-TSS (NM_057811)	-42	NM_143299	43293	Dm.13752	NM_143299		bigmax	BIGMAX|Bigmax|CG3350|DmMlx|Dmel\CG3350|Mlx|bHLHd13|cg3350|mlx	bigmax	protein-coding
Merged-chrX-4073049-8	chrX	4072812	4073256	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_167004, intron 2 of 7)	intron (NM_167004, intron 2 of 7)	27092	NM_001297926	31364	Dm.1687	NM_080327		Fas2	1D4|Ab 1D4|CG3665|CT12301|Dmel\CG3665|EG:EG0007.3|FAS 11|FAS II|FAS2|FASII|Fas|Fas 2|Fas II|Fas-II|FasII|FascII|Fasii|MAB1D4|anon-EST:Liang-1.60|clone 1.60|fas II|fas-II|fas2|fasII|fasciclin II|l(1)G0032|l(1)G0048|l(1)G0081|l(1)G0293|l(1)G0336|mAB1D4|mAb 1D4|mAb1D4	Fasciclin 2	protein-coding
Merged-chr2R-8061205-26	chr2R	8059485	8063445	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_078983)	promoter-TSS (NM_078983)	304	NM_165863	36307	Dm.29458	NM_165863		Oda	AZ|CG16747|D-AZ|Dmel\CG16747|ODA|guf|l(2)02833|l(2)k09037|oda	Ornithine decarboxylase antizyme	protein-coding
Merged-chrX-9161503-1	chrX	9161388	9161619	+	0.000000	wtInsv__insvInsv	TTS (NM_132327)	TTS (NM_132327)	228	NM_001201640	31877	Dm.7614	NM_167188		Erk7	CG17441|CG2309|CG32703|Dmel\CG32703|ERK7	Extracellularly regulated kinase 7	protein-coding
Merged-chrX-7119559-3	chrX	7119376	7119681	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba2_ChIPnexus_narrowPeak_q5.bed	promoter-TSS (NM_001103430)	promoter-TSS (NM_001103430)	-960	NM_001103430	31660	Dm.20992	NM_132157		CG9650	Dmel\CG9650	CG9650	protein-coding
Merged-chr3R-12428533-1	chr3R	12428464	12428603	+	0.000000	Elba1_ChIPnexus_narrowPeak_q10.bed	intron (NM_142306, intron 1 of 6)	intron (NM_142306, intron 1 of 6)	2050	NM_142306	42017	Dm.3146	NM_142306		CG10345	BcDNA|BcDNA:GH08773|Dmel\CG10345	uncharacterized protein	protein-coding
Merged-chr3R-16739658-5	chr3R	16739311	16739945	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_001104381)	promoter-TSS (NM_001104381)	-390	NM_001275860	42478	Dm.5461	NM_142672		hdly	CG5630|Dmel\CG5630	hadley	protein-coding
Merged-chr3L-13404676-13	chr3L	13404094	13405614	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Insv_ChIPnexus_narrowPeak_q10.bed|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba2_ChIPnexus_narrowPeak_q5.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	exon (NM_140384, exon 1 of 1)	exon (NM_140384, exon 1 of 1)	699	NM_001300131	39504	Dm.15324	NM_140384		CG10222	Dmel\CG10222	uncharacterized protein	protein-coding
Merged-chr2R-7174895-1	chr2R	7174622	7175169	+	0.000000	wtElba3__elba3Elba3	exon (NM_136821, exon 3 of 9)	exon (NM_136821, exon 3 of 9)	2382	NM_165815	36201	Dm.4635	NM_136821		Fbl6	CG13213|Dmel\CG13213|FBXL6|fbl6	F-box and leucine-rich repeat protein 6	protein-coding
Merged-chr3R-21705352-2	chr3R	21705179	21705495	+	0.000000	wtElba3__elba3Elba3|wtElba1__elba1Elba1	intron (NM_001276047, intron 1 of 4)	intron (NM_001276047, intron 1 of 4)	1812	NM_001276048	43127	Dm.1337	NM_079776		Tsp96F	BcDNA:LD19727|CG6120|Dm.Tsp96F|Dmel\CG6120|LD19727	Tetraspanin 96F	protein-coding
Merged-chr2R-2948987-7	chr2R	2948380	2949503	+	0.000000	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	TTS (NM_078919)	TTS (NM_078919)	296	NM_136412	35627	Dm.3144	NM_136412		pgant3	BcDNA:GH09147|CG4445|Dmel\CG4445|anon-WO0118547.119	polypeptide GalNAc transferase 3	protein-coding
Merged-chr3R-9861805-2	chr3R	9861523	9862088	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_142072)	promoter-TSS (NM_142072)	-65	NM_142072	41708	Dm.5908	NM_142072		CG9922	BcDNA:RE55111|Dmel\CG9922|NEST:bs28g09	CG9922	protein-coding
Merged-chrX-13262578-1	chrX	13262467	13262690	+	0.000000	wtInsv__insvInsv	TTS (NM_132650)	TTS (NM_132650)	354	NM_078591	32291	Dm.26623	NM_078591		dmrt11E	CG15749|Dmel\CG15749|Dmrt11E|dmrt11	doublesex-Mab related 11E	protein-coding
Merged-chr3L-14939434-1	chr3L	14939288	14939580	+	0.000000	wtElba1__elba1Elba1	promoter-TSS (NM_080348)	promoter-TSS (NM_080348)	-209	NM_080348	50281	Dm.1577	NM_080348		BobA	Bob|Bob-A|CG12487|Dmel\CG12487|bobA	Brother of Bearded A	protein-coding
Merged-chr2L-19939230-1	chr2L	19939028	19939432	+	0.000000	wtInsv__insvInsv	intron (NM_136167, intron 1 of 5)	intron (NM_136167, intron 1 of 5)	3977	NM_001273675	35277	Dm.17935	NM_136167		sick	CG10662|CG13958|CG13959|CG13960|CG13961|CG13964|CG33316|CG34343|CG42589|CG43720|Dm_2L:104545|Dmel\CG43720|Dmel_CG10662|Dmel_CG13958|Dmel_CG13964|Dmel_CG33316|Dmel_CG34343|Dmel_CG42589	sickie	protein-coding
Merged-chr3L-11995922-2	chr3L	11995451	11996393	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_140282)	promoter-TSS (NM_140282)	93	NM_168484	39366	Dm.6800	NM_140281		Pop2	CAF1|CG5684|Caf1|Dmel\CG5684|POP2|pop2	Pop2	protein-coding
Merged-chr2R-8906767-1	chr2R	8906644	8906890	+	0.000000	wtInsv__insvInsv	Intergenic	(TTG)n|Simple_repeat|Simple_repeat	22139	NM_079002	36432	Dm.2672	NM_079002		Su(z)2	Arp|CG3905|Dmel\CG3905|SU(Z)2|SUZ2|Su(Z)2|Su(z)2D|Su(z)3|Su(z)[[2]]|Suz2|l(2)k06344|su(z)2|su(z)3	Suppressor of zeste 2	protein-coding
Merged-chr3R-2977171-1	chr3R	2977053	2977289	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_001014610)	promoter-TSS (NM_001014610)	82	NM_141444	40859	Dm.17121	NM_141444		Sas-4	CG10061|CPAP|D-Sas4|D-sas4|DSAS-4|DSas-4|DSas4|Dmel\CG10061|Dsas-4|Dsas4|SAS-4|SAS4|Sas4|d-SAS-4|dsas-4|l(3)S2214|l(3)s2214|sas-4|sas4	Spindle assembly abnormal 4	protein-coding
Merged-chrX-13442628-1	chrX	13442590	13442666	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	4952	NM_132668	32309	Dm.13849	NM_132668		Cpr12A	BcDNA:LP12385|CG15757|Dmel\CG15757	Cuticular protein 12A	protein-coding
Merged-chr3R-25063859-1	chr3R	25063728	25063990	+	0.000000	wtElba3__elba3Elba3	5' UTR (NM_001260426, exon 2 of 6)	5' UTR (NM_001260426, exon 2 of 6)	567	NM_143431	43463	Dm.24113	NM_143431		CG11951	Dmel\CG11951	uncharacterized protein	protein-coding
Merged-chrX-19219949-1	chrX	19219914	19219984	+	0.000000	Insv_ChIPnexus_narrowPeak_q10.bed	Intergenic	Intergenic	-3810	NM_133150	32926	Dm.3073	NM_133150		out	BcDNA:LD28120|CG8062|Dmel\CG8062	outsiders	protein-coding
Merged-chr2L-6792231-1	chr2L	6792077	6792385	+	0.000000	wtElba3__elba3Elba3	intron (NM_001273235, intron 2 of 6)	(TG)n|Simple_repeat|Simple_repeat	2368	NM_001014476	33953	Dm.4056	NM_057820		nrv2	42kDa|CG9261|Dmel\CG9261|K-ATPase|NEST:bs13c10|Na|NaK ATPase|Na[+]/K[+] ATPase|Na[+]/K[+]-ATPase|Na[+]/K[+]ATPase|Nrv|Nrv2|Nrv2.2|ecta|l(2)SH0329|l(2)SH2 0329|l(2)k04223|l(2)k13315|nrv2.2	nervana 2	protein-coding
Merged-chr3L-13660846-6	chr3L	13660307	13661196	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|Elba3_ChIPnexus_narrowPeak_q10.bed|Elba1_ChIPnexus_narrowPeak_q10.bed	promoter-TSS (NM_079335)	promoter-TSS (NM_079335)	-902	NM_001202166	39527	Dm.13624	NM_079335		bru3	Bru-3|CG10046|CG12478|CG34243|CG43744|Dm Bru-3|Dmel\CG43744|Dmel_CG12478|Dmel_CG34243|bru-3|bruno-3|cg10046|cg12478|l(3)05871	bruno 3	protein-coding
Merged-chrX-7622308-1	chrX	7622135	7622481	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NM_132175)	promoter-TSS (NM_132175)	86	NM_132174	31681	Dm.3142	NM_132174		NELF-B	BcDNA:GH10333|CG12152|CG32721|Dmel\CG32721|NELF	NELF-B	protein-coding
Merged-chr2L-16234994-1	chr2L	16234867	16235121	+	0.000000	wtElba3__elba3Elba3	intron (NM_165149, intron 1 of 10)	intron (NM_165149, intron 1 of 10)	3519	NM_001273557	34951	Dm.21892	NM_165149		CG42817	BG:DS07473.1|CG12455|DS07473.1A|Dmel\CG42817|Dmel_CG12455	uncharacterized protein	protein-coding
Merged-chrX-4319244-2	chrX	4318890	4319614	+	0.000000	wtInsv__insvInsv|wtElba3__elba3Elba3	intron (NM_001272309, intron 1 of 7)	intron (NM_001272309, intron 1 of 7)	-1916	NM_001169192	31379	Dm.1683	NM_080331		bi	BI|CG3578|Dm-OMB|Dm-omb|Dmel\CG3578|OMB|Omb|Qd|T3|TBX2|dm-omb|l(1)bi|l(1)omb|omb	bifid	protein-coding
Merged-chr2R-19948410-1	chr2R	19948304	19948517	+	0.000000	wtElba3__elba3Elba3	promoter-TSS (NR_124721)	promoter-TSS (NR_124721)	433	NM_166655	45329	Dm.7505	NM_080080		RpL12	CG3195|Dmel\CG3195|L12|Q9W1B9_DROME|RPL12|Rp L12|Rpl12|anon-EST:Posey236	Ribosomal protein L12	protein-coding
Merged-chr2R-14566761-1	chr2R	14566637	14566886	+	0.000000	wtInsv__insvInsv	exon (NM_001299656, exon 4 of 4)	exon (NM_001299656, exon 4 of 4)	1914	NM_001299657	19835622		NM_001299656		CG44435	CG15086|Dmel\CG44435	uncharacterized protein	protein-coding
