PeakID (cmd=annotatePeaks.pl /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q5_narrowPeak.bed dm3 -genomeOntology /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/ -annStats /home/jwen/projects/qi/elba/code_NC/data/chipnexus_peaks/Insv_ChIPnexus/Insv_ChIPnexus_q5_narrowPeak_stat.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Insv_ChIPnexus_peak_14104c	chrX	15459890	15460520	+	696	NA	Intergenic	Intergenic	-2821	NM_132811	32488	Dm.29220	NM_132811		CG7860	Dmel\CG7860	CG7860	protein-coding
Insv_ChIPnexus_peak_13546	chrX	10043329	10043576	+	694	NA	TTS (NM_001042801)	TTS (NM_001042801)	-4193	NM_001272464	31947	Dm.26598	NM_001103465		CG12645	Dmel\CG12645	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_13064	chrX	6185142	6185591	+	694	NA	promoter-TSS (NM_132081)	promoter-TSS (NM_132081)	30	NM_132081	31568		NM_132081		mldr	CG15896|Dmel\CG15896|PRORP	mulder	protein-coding
Insv_ChIPnexus_peak_2301a	chr2L	19114252	19114698	+	691	NA	promoter-TSS (NM_057260)	promoter-TSS (NM_057260)	74	NM_057260	35189	Dm.467	NM_057260		CG10561	C2|Cs|Dmel\CG10561|ORF1|ORF2|ORF3|TU37C1|TU37C2|TuC1|anon-37Cb|anon-37Cc|anon-37Cd|anon-37Cs|cs|l(2)37Cs	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_2899	chr2R	2240376	2240564	+	684	NA	Intergenic	Intergenic	107453	NM_001144138	35554	Dm.3155	NM_078903		Pld	CG12110|Dmel\CG12110|PLD|dPLD|dPld|pld|pld1	Phospholipase D	protein-coding
Insv_ChIPnexus_peak_13043	chrX	5974633	5974891	+	683	NA	intron (NM_132065, intron 1 of 3)	intron (NM_132065, intron 1 of 3)	643	NM_132065	31542	Dm.20548	NM_132065		CG4660	BcDNA:RH58440|Dmel\CG4660	CG4660	protein-coding
Insv_ChIPnexus_peak_1676	chr2L	13157938	13158539	+	682	NA	promoter-TSS (NM_135759)	promoter-TSS (NM_135759)	-572	NM_135759	34705	Dm.12065	NM_135759		Pk34A	CG5182|Dmel\CG5182|GSK3a	Pk34A	protein-coding
Insv_ChIPnexus_peak_5163	chr2R	19124482	19124668	+	677	NA	Intergenic	Intergenic	4426	NM_137926	37682	Dm.744	NM_137926		CG3092	Dmel\CG3092|anon-WO0140519.90	CG3092	protein-coding
Insv_ChIPnexus_peak_12276b	chrU	480864	481768	+	676	NA	Intergenic	Copia_I|LTR|Copia	-77770	NR_133318	26067438		NR_133318		CR46122	Dmel\CR46122	ncRNA	ncRNA
Insv_ChIPnexus_peak_6187c	chr3L	5138856	5139472	+	676	NA	promoter-TSS (NM_139687)	promoter-TSS (NM_139687)	-1	NM_168110	38596	Dm.848	NM_139687		CG10671	Dmel\CG10671|FIT2|i136	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5174b	chr2R	19273070	19274090	+	675	NA	promoter-TSS (NM_001169794)	promoter-TSS (NM_001169794)	374	NM_166599	246602		NM_166599		roh	CG30415|CG3487|Dmel\CG30415|anon-SAGE:Wang-079	reduction of Rh1	protein-coding
Insv_ChIPnexus_peak_9100b	chr3R	3374918	3375811	+	675	NA	promoter-TSS (NM_079545)	promoter-TSS (NM_079545)	-518	NM_079545	40909	Dm.2470	NM_079545		alpha-Est1	A|Alpha-Est1|CG1031|DmalphaE1|Dmel\CG1031|Est1|Q9VIC3_DROME|aE1|alpha est1|alphaE1	alpha-Esterase-1	protein-coding
Insv_ChIPnexus_peak_4498	chr2R	13504028	13504158	+	675	NA	promoter-TSS (NR_003805)	promoter-TSS (NR_003805)	-168	NR_003805	5740189	Dm.36225	NR_003805		snoRNA:Or-aca4	CR34543|DmOr_aca4|DmOr_aca4 snoRNA|Dmel\CR34543|Oaca-4|Or-aca4|chr2R:13131609..13131698|snoRNA:Or-ACA4	ncRNA	ncRNA
Insv_ChIPnexus_peak_12549a	chrX	1274396	1274938	+	671	NA	promoter-TSS (NM_166885)	promoter-TSS (NM_166885)	-154	NM_143733	44736	Dm.31059	NM_143733		CG3719	BcDNA:LD03613|Dmel\CG3719|EG:132E8.3	CG3719	protein-coding
Insv_ChIPnexus_peak_11554b	chr3R	23179097	23179556	+	669	NA	intron (NM_143303, intron 1 of 6)	intron (NM_143303, intron 1 of 6)	-5786	NM_001260404	43298	Dm.16396	NM_143303		CG42534	CG13980|CG14264|CG6599|Dmel\CG42534|Dmel_CG13980|Dmel_CG14264|Dmel_CG6599	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_14793	chrX	21834857	21835024	+	669	NA	Intergenic	(CTATT)n|Simple_repeat|Simple_repeat	-11123	NM_001298593	33128	Dm.17217	NM_134614		CG14621	Dmel\CG14621|Slc35e1|lincRNA.1043	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_3544	chr2R	7190718	7191180	+	664	NA	promoter-TSS (NM_136825)	promoter-TSS (NM_136825)	-51	NM_001259334	36208	Dm.23237	NM_136826		CG7741	Dmel\CG7741	CG7741	protein-coding
Insv_ChIPnexus_peak_386c	chr2L	3372258	3373018	+	662	NA	TTS (NM_001103602)	TTS (NM_001103602)	734	NM_134926	33552	Dm.11661	NM_134926		CG34394	BcDNA:RE58243|CG15411|CG3304|Dmel\CG34394|Dmel_CG15411|Dmel_CG3304	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_9700b	chr3R	7836426	7836821	+	662	NA	promoter-TSS (NM_141886)	promoter-TSS (NM_141886)	129	NM_001104285	41459	Dm.18760	NM_001104285		GCC185	CG3532|Dmel\CG3532|dGCC185	GRIP and coiled-coil domain containing 185 kDa	protein-coding
Insv_ChIPnexus_peak_5425	chr2R	21063035	21063438	+	661	NA	exon (NM_138151, exon 2 of 2)	exon (NM_138151, exon 2 of 2)	1002	NM_138151	38009	Dm.3075	NM_138151		Ebp	BcDNA:GH06048|CG2668|Dmel\CG2668|P38|PEB|PEB-me|PEBme|Peb|anon-WO0140519.140|peb	Ejaculatory bulb protein	protein-coding
Insv_ChIPnexus_peak_5462a	chr2RHet	673360	673805	+	661	NA	intron (NM_001015352, intron 8 of 13)	DMCR1A|LINE|CR1	-175481	NR_074072	14462346		NR_074072		CR44043	Dmel\CR44043	ncRNA	ncRNA
Insv_ChIPnexus_peak_6280	chr3L	5991233	5991701	+	660	NA	intron (NM_168153, intron 1 of 6)	intron (NM_168153, intron 1 of 6)	1159	NM_168153	38677	Dm.15592	NM_168153		PVRAP	CG13292|CG32406|CG6062|Dmel\CG32406	PVR adaptor protein	protein-coding
Insv_ChIPnexus_peak_5219b	chr2R	19639906	19640383	+	659	NA	promoter-TSS (NM_137982)	promoter-TSS (NM_137982)	-133	NM_137982	37761	Dm.3809	NM_137982		CG5532	Dmel\CG5532	CG5532	protein-coding
Insv_ChIPnexus_peak_4279a	chr2R	12012211	12012883	+	659	NA	promoter-TSS (NM_080084)	promoter-TSS (NM_080084)	61	NM_166146	45380	Dm.3446	NM_080084		spin	25/11|CG8428|Dmel\CG8428|Spin|bnch|l(2)10403|l(2)W5|l(2)k02511|l(2)k09905|l(2R)W5	spinster	protein-coding
Insv_ChIPnexus_peak_13080b	chrX	6266776	6267367	+	658	NA	promoter-TSS (NM_078506)	promoter-TSS (NM_078506)	-123	NM_001272345	31582	Dm.2624	NM_078506		PpV	CG12217|DmPpV-6A|Dmel\CG12217|PP6|PPPV6A|PPV|PPV 6A|PpV[[C]]|Ppv|dPP6	Protein phosphatase V	protein-coding
Insv_ChIPnexus_peak_7157b	chr3L	13404094	13404523	+	657	NA	TTS (NM_140384)	TTS (NM_140384)	1245	NM_001300131	39504	Dm.15324	NM_140384		CG10222	Dmel\CG10222	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_11733a	chr3R	25319066	25319536	+	657	NA	promoter-TSS (NM_170411)	promoter-TSS (NM_170411)	-61	NM_143437	43473	Dm.6190	NM_143437		CG2310	Dmel\CG2310	CG2310	protein-coding
Insv_ChIPnexus_peak_14085b	chrX	15356386	15357030	+	656	NA	promoter-TSS (NM_132797)	promoter-TSS (NM_132797)	-47	NM_167445	32474	Dm.21389	NM_132798		CG6294	Dmel\CG6294	CG6294	protein-coding
Insv_ChIPnexus_peak_13405c	chrX	8615391	8615989	+	656	NA	TTS (NM_132276)	TTS (NM_132276)	1137	NM_132276	31812	Dm.11316	NM_132276		CG1789	Dmel\CG1789	CG1789	protein-coding
Insv_ChIPnexus_peak_13509b	chrX	9499798	9500500	+	654	NA	promoter-TSS (NM_132344)	promoter-TSS (NM_132344)	-147	NM_132344	31903	Dm.12479	NM_132344		Lst8	CG3004|Dmel\CG3004|Gbl|dGbetaL|dLST8|lst8	Lst8	protein-coding
Insv_ChIPnexus_peak_6534b	chr3L	8308473	8309061	+	652	NA	promoter-TSS (NM_139949)	promoter-TSS (NM_139949)	-165	NM_139949	38937	Dm.887	NM_139949		CG7185	CF I[[m]]68|CFlm-68k|Dmel\CG7185|cg7185	CG7185	protein-coding
Insv_ChIPnexus_peak_14480	chrX	17926719	17927049	+	652	NA	intron (NM_167594, intron 3 of 13)	intron (NM_167594, intron 3 of 13)	8981	NM_133034	32782	Dm.7360	NM_133034		CG6867	CT21241|Dmel\CG6867	CG6867	protein-coding
Insv_ChIPnexus_peak_9875a	chr3R	9668268	9668917	+	651	NA	Intergenic	AT_rich|Low_complexity|Low_complexity	-2936	NM_169559	261626	Dm.16897	NM_169559		CG31495	CG9931|Dmel\CG31495	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5312	chr2R	20178375	20178830	+	648	NA	TTS (NM_079117)	TTS (NM_079117)	-3018	NM_166666	37887	Dm.7883	NM_138062		CG3394	Dmel\CG3394	CG3394	protein-coding
Insv_ChIPnexus_peak_302a	chr2L	2798439	2798743	+	647	NA	TTS (NR_073706)	TTS (NR_073706)	759	NR_073706	14462679		NR_073706		CR43821	Dmel\CR43821	ncRNA	ncRNA
Insv_ChIPnexus_peak_2257d	chr2L	18858743	18859510	+	647	NA	TTS (NM_057427)	TTS (NM_057427)	122	NM_078874	35145	Dm.2753	NM_078874		mRpL13	CG10602|CG10603|Dmel\CG10603|L13|anon-EST:fe3C4	mitochondrial ribosomal protein L13	protein-coding
Insv_ChIPnexus_peak_6763	chr3L	10274933	10275219	+	646	NA	Intergenic	Intergenic	8772	NM_140133	39191	Dm.27107	NM_140133		Or67d	67d|CG14157|Dmel\CG14157|OR67d	Odorant receptor 67d	protein-coding
Insv_ChIPnexus_peak_3266	chr2R	5025239	5025637	+	645	NA	promoter-TSS (NM_136617)	promoter-TSS (NM_136617)	0	NM_136616	35931	Dm.7268	NM_136616		alc	8057|AMPKbeta|CG8057|Dmel\CG8057|FBgn0033383|betaAMPK|l(2)45Ad	alicorn	protein-coding
Insv_ChIPnexus_peak_13195c	chrX	7146471	7146904	+	644	NA	intron (NR_123820, intron 3 of 4)	intron (NR_123820, intron 3 of 4)	-14250	NM_132158	31661	Dm.8174	NM_132158		CG1958	Dmel\CG1958	CG1958	protein-coding
Insv_ChIPnexus_peak_5775b	chr3L	1592694	1593339	+	644	NA	5' UTR (NM_139371, exon 2 of 5)	5' UTR (NM_139371, exon 2 of 5)	6322	NM_001316470	38186	Dm.9421	NM_139371		CG13917	Dmel\CG13917	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5272a	chr2R	19916067	19916860	+	643	NA	promoter-TSS (NM_138028)	promoter-TSS (NM_138028)	-151	NM_001299881	246497	Dm.23752	NM_166648		HSPC300	Brk1|CG30173|Dmel\CG30173|SIP1|dHSPC|dHSPC300	Haematopoietic stem/progenitor cell protein 300	protein-coding
Insv_ChIPnexus_peak_10865b	chr3R	17259780	17260333	+	641	NA	promoter-TSS (NM_001144620)	promoter-TSS (NM_001144620)	-201	NM_079710	42541	Dm.2384	NM_079710		lbl	CG6570|Dmel\CG6570|Lb|Lbl|NK?|NKch4|lb|nkch4	ladybird late	protein-coding
Insv_ChIPnexus_peak_7675b	chr3L	16819238	16819570	+	640	NA	intron (NM_001259877, intron 1 of 3)	intron (NM_001259877, intron 1 of 3)	2770	NM_001259877	39880	Dm.6793	NM_140667		CG13024	BcDNA:RH61817|Dmel\CG13024	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_5217b	chr2R	19597024	19597648	+	639	NA	promoter-TSS (NM_079105)	promoter-TSS (NM_079105)	-21	NM_079105	37754	Dm.2569	NM_079105		l(2)not	1(2) not|CG4084|Dmel\CG4084|cDNA 10F|dAlg3|ntid	lethal (2) neighbor of tid	protein-coding
Insv_ChIPnexus_peak_4883	chr2R	16896938	16897407	+	639	NA	promoter-TSS (NM_166417)	promoter-TSS (NM_166417)	-91	NM_166417	246534	Dm.20844	NM_166417		CG30291	CG3282|Dmel\CG30291	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_7834c	chr3L	18237668	18238204	+	639	NA	TTS (NR_133265)	TTS (NR_133265)	1136	NR_133265	26067263		NR_133265		CR45936	Dmel\CR45936|lincRNA.600	ncRNA	ncRNA
Insv_ChIPnexus_peak_2282c	chr2L	18986973	18987397	+	638	NA	promoter-TSS (NM_136082)	promoter-TSS (NM_136082)	95	NM_001299150	35158	Dm.11240	NM_136081		Swip-1	CG10641|DSwip-1|Dmel\CG10641|EFhd2|efhd|efhd2	Swiprosin-1	protein-coding
Insv_ChIPnexus_peak_12376a	chrU	9005863	9006277	+	638	NA	Intergenic	PROTOP|DNA|P	-7357	NR_004007	5740443		NR_004007		CR40571	Dmel\CR40571	ribosomal RNA	rRNA
Insv_ChIPnexus_peak_10800c	chr3R	16898711	16899246	+	637	NA	promoter-TSS (NM_079704)	promoter-TSS (NM_079704)	63	NM_079703	42493	Dm.1654	NM_079703		r-l	CG3593|Dmel\CG3593|OMPDC|OPRT|UMPS|ral	rudimentary-like	protein-coding
Insv_ChIPnexus_peak_11480b	chr3R	22550701	22551211	+	637	NA	promoter-TSS (NM_001300616)	promoter-TSS (NM_001300616)	-18	NM_001300616	43218	Dm.12450	NM_143242		CG6420	Dmel\CG6420	CG6420	protein-coding
Insv_ChIPnexus_peak_3246b	chr2R	4894083	4894701	+	637	NA	promoter-TSS (NM_001259284)	promoter-TSS (NM_001259284)	-300	NM_001259284	35904		NM_136593		Np	CG11824|CG34350|CG8181|Dmel\CG34350|Dmel_CG11824|Dmel_CG8181|SP59|np	Notopleural	protein-coding
Insv_ChIPnexus_peak_9115c	chr3R	3737208	3737749	+	636	NA	promoter-TSS (NM_079547)	promoter-TSS (NM_079547)	23	NM_079547	40935	Dm.9919	NM_079547		Prat	CG2867|DmPrat|Dmel\CG2867	Phosphoribosylamidotransferase	protein-coding
Insv_ChIPnexus_peak_9622	chr3R	7326799	7327316	+	636	NA	intron (NM_169395, intron 1 of 4)	intron (NM_169395, intron 1 of 4)	265	NM_169395	41381	Dm.1151	NM_141823		dpr5	CG5308|CT16895|Dmel\CG5308|Dpr-5|Dpr5	defective proboscis extension response 5	protein-coding
Insv_ChIPnexus_peak_12735b	chrX	2843161	2843685	+	636	NA	TTS (NM_130690)	TTS (NM_130690)	1356	NM_001272270	31289	Dm.33035	NM_130690		CG3603	BcDNA:RH09070|Dmel\CG3603	CG3603	protein-coding
Insv_ChIPnexus_peak_1110b	chr2L	8683127	8683627	+	635	NA	intron (NM_135401, intron 1 of 4)	intron (NM_135401, intron 1 of 4)	999	NM_135401	34195	Dm.26763	NM_135401		CG9289	CT26467|Dmel\CG9289	CG9289	protein-coding
Insv_ChIPnexus_peak_3014	chr2R	3156781	3156997	+	635	NA	Intergenic	Intergenic	-8115	NM_136421	35647	Dm.17848	NM_136421		CG1850	Dmel\CG1850	CG1850	protein-coding
Insv_ChIPnexus_peak_6578a	chr3L	8712496	8712885	+	635	NA	TTS (NM_001300058)	TTS (NM_001300058)	635	NM_001274667	47283	Dm.7769	NM_176307		SrpRbeta	BcDNA:GM04779|CG33162|CG5950|Dm SRbeta|Dmel\CG33162|Q9VSN9|SRbeta|l(3)rK561|l(3)rL537|srpRbeta	Signal recognition particle receptor beta	protein-coding
Insv_ChIPnexus_peak_9000b	chr3R	2696356	2696884	+	635	NA	Intergenic	Intergenic	6574	NM_058150	40834	Dm.24032	NM_058150		ftz	BG:DS07876.1|CG2047|Dm-Ftz|Dm-ftz|DmFtz|Dmel\CG2047|Dmftz|FTZ|Ftz|Ual|l(3)84Ag	fushi tarazu	protein-coding
Insv_ChIPnexus_peak_5056b	chr2R	18180658	18181073	+	635	NA	promoter-TSS (NM_137816)	promoter-TSS (NM_137816)	-40	NM_001259529	37547	Dm.13384	NM_137816		CG5819	5819|CT18212|Dmel\CG5819|tartan/capricious-like	CG5819	protein-coding
Insv_ChIPnexus_peak_12075	chr3RHet	2208167	2208611	+	634	NA	Intergenic	Copia_I|LTR|Copia	-49632	NM_001110990	5740359		NM_001110990		spok	307a2p|CG40123|CG41624|CYP307A2|Cyp307a2|Cyp307a2Psi|Cyp307a2p|Dmel\CG41624|Dmspok|spo2	spookier	protein-coding
Insv_ChIPnexus_peak_10821b	chr3R	16966623	16967228	+	633	NA	TTS (NM_001104383)	TTS (NM_001104383)	464	NM_169946	42515	Dm.16656	NM_080509		SNF4Agamma	0050/42|0127/19|AMPK&ggr|AMPK-&ggr|AMPKgamma|AMPgamma|CG17299|CG5806|Dmel\CG17299|EP3015b|FBgn0025803|SNF4|SNF4A|SNF4A-gamma|SNF4Ag|SNF4a|SNF4gamma|Snfg|Snfgamma|anon-WO0118547.338|anon-WO0118547.575|anon-WO0257455.21|l(3)S005042|l(3)S012719|loe|loeI|snf4	SNF4/AMP-activated protein kinase gamma subunit	protein-coding
Insv_ChIPnexus_peak_7481a	chr3L	15630128	15630679	+	633	NA	intron (NM_140534, intron 1 of 1)	intron (NM_140534, intron 1 of 1)	-2813	NM_001300143	39696	Dm.22276	NM_140534		comm3	CG13446|CG13447|CG13448|CG33209|CG42334|Dmel\CG42334|Dmel_CG13446|Dmel_CG33209	comm3	protein-coding
Insv_ChIPnexus_peak_6714b	chr3L	9697347	9698035	+	632	NA	promoter-TSS (NM_140089)	promoter-TSS (NM_140089)	260	NM_168361	39135	Dm.14974	NM_140090		CG16711	Dmel\CG16711	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_10697	chr3R	15847327	15847552	+	630	NA	promoter-TSS (NM_142601)	promoter-TSS (NM_142601)	13	NM_142601	42389		NM_142601		psidin	CG4845|Dmel\CG4845|ird16|psid	phagocyte signaling impaired	protein-coding
Insv_ChIPnexus_peak_13478c	chrX	9149891	9150317	+	629	NA	promoter-TSS (NM_132322)	promoter-TSS (NM_132322)	-97	NM_132322	31874	Dm.6684	NM_132322		ric8a	CG15797|DmRic8|Dmel\CG15797|RIC-8|Ric-8|l(1)G0397|ric-8|ric-8a	ric8a	protein-coding
Insv_ChIPnexus_peak_8024a	chr3L	19810636	19811334	+	627	NA	promoter-TSS (NM_001038944)	promoter-TSS (NM_001038944)	82	NM_206401	40163	Dm.1005	NM_206399		Fibp	CG8660|Dmel\CG8660|DrFIBP|F1bp	fibp	protein-coding
Insv_ChIPnexus_peak_9913	chr3R	9883012	9883498	+	627	NA	promoter-TSS (NM_001275628)	promoter-TSS (NM_001275628)	-386	NM_001275628	41709	Dm.3957	NM_142073		foxo	3143|Afx|CG3143|DFOXO|Dfoxo|DmQ95V5|Dmel\CG3143|FKHR|FOXO|FOXO1|FoxO|Foxo|Q95V55|anon-WO0118547.374|cg3143|dFOXO|dFoxO|dFoxo|dfoxO|dfoxo|fd88A|foxO|foxo|dFOXO	forkhead box, sub-group O	protein-coding
Insv_ChIPnexus_peak_7884b	chr3L	18676929	18677549	+	627	NA	promoter-TSS (NM_140794)	promoter-TSS (NM_140794)	-78	NM_140794	40036	Dm.3851	NM_140794		Chmp1	CG4108|CHMP1|Dmel\CG4108|VPS46	Charged multivesicular body protein 1	protein-coding
Insv_ChIPnexus_peak_13626b	chrX	10751180	10751839	+	626	NA	promoter-TSS (NM_132432)	promoter-TSS (NM_132432)	-63	NM_001298163	32016	Dm.4632	NM_132431		sofe	CG1655|Dmel\CG1655	sister of feo	protein-coding
Insv_ChIPnexus_peak_10655	chr3R	15476230	15476617	+	626	NA	promoter-TSS (NM_001104367)	promoter-TSS (NM_001104367)	-317	NM_001104367	42344	Dm.24078	NM_001104367		CG31219	CG16731|Dmel\CG31219	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_12701c	chrX	2337694	2338264	+	626	NA	promoter-TSS (NM_080311)	promoter-TSS (NM_080311)	30	NM_001258561	31228	Dm.1694	NM_080311		tko	CG7925|Dmel\CG7925|EG:BACH59J11.1|MRP-S12|MRPS12|S12|Tko|l(1)3Ab|l(1)tko|mRpS12|mt-rps12|rps12	technical knockout	protein-coding
Insv_ChIPnexus_peak_3742	chr2R	8452560	8452822	+	625	NA	promoter-TSS (NM_136952)	promoter-TSS (NM_136952)	-285	NM_001032239	3772054	Dm.26311	NM_001032239		CG33775	BP1034|Dmel\CG33775	uncharacterized protein	protein-coding
Insv_ChIPnexus_peak_7751b	chr3L	17498938	17499669	+	624	NA	intron (NM_001300167, intron 2 of 7)	intron (NM_001300167, intron 2 of 7)	7709	NM_140733	39955	Dm.987	NM_140733		U4-U6-60K	CG6322|Dmel\CG6322|Prp4|U4/U6-60K	U4-U6 small nuclear riboprotein factor 60K	protein-coding
